Địa điểm quan trắc;Triều;Ký hiệu;Tên viết tắt;Địa chỉ (tiếng Việt);Tên nơi lấy mẫu;Tên vị trí;Tên vị trí mẫu lặp;Tên vị trí mẫu trắng hiện trường;Tên vị trí mẫu trắng vận chuyển;Tên vị trí mẫu trắng thiết bị
Tham Lương;Triều Xuống;HCM_NM_TL;HCM_NM_TL_X;Khu vực cầu Tham Lương trên đường Trường Chinh;Tham Lương - HCM_NM_TL - Triều Xuống;Tham Lương - Triều Xuống;Tham Lương - Triều Xuống (QC - Mẫu lặp hiện trường);Tham Lương - Triều Xuống (QC - Mẫu trắng hiện trường);Tham Lương - Triều Xuống (QC - Mẫu trắng vận chuyển);Tham Lương - Triều Xuống (QC - Mẫu trắng thiết bị)
Cầu Bưng;Triều Xuống;HCM_NM_CB;HCM_NM_CB_X;Cách cầu Bưng 760m về phía Đông Bắc;Cầu Bưng - HCM_NM_CB - Triều Xuống;Cầu Bưng - Triều Xuống;Cầu Bưng - Triều Xuống (QC - Mẫu lặp hiện trường);Cầu Bưng - Triều Xuống (QC - Mẫu trắng hiện trường);Cầu Bưng - Triều Xuống (QC - Mẫu trắng vận chuyển);Cầu Bưng - Triều Xuống (QC - Mẫu trắng thiết bị)
CN1;Triều Xuống;HCM_NM_CN1;HCM_NM_CN1_X;Khu vực giao cầu của đường CN1 và kênh 19/5;CN1 - HCM_NM_CN1 - Triều Xuống;CN1 - Triều Xuống;CN1 - Triều Xuống (QC - Mẫu lặp hiện trường);CN1 - Triều Xuống (QC - Mẫu trắng hiện trường);CN1 - Triều Xuống (QC - Mẫu trắng vận chuyển);CN1 - Triều Xuống (QC - Mẫu trắng thiết bị)
GCNM2;1;HCM_NM_GCNM2;HCM_NM_GCNM2_01;Rạch nước đen – cách cống xả 500 m thượng nguồn. ;GCNM2 - HCM_NM_GCNM2 - 01;GCNM2 - 01;GCNM2 - 01 (QC - Mẫu lặp hiện trường);GCNM2 - 01 (QC - Mẫu trắng hiện trường);GCNM2 - 01 (QC - Mẫu trắng vận chuyển);GCNM2 - 01 (QC - Mẫu trắng thiết bị)
GCNM3;1;HCM_NM_GCNM3;HCM_NM_GCNM3_01;Rạch nước đen – cách cống xả 500m hạ nguồn.;GCNM3 - HCM_NM_GCNM3 - 01;GCNM3 - 01;GCNM3 - 01 (QC - Mẫu lặp hiện trường);GCNM3 - 01 (QC - Mẫu trắng hiện trường);GCNM3 - 01 (QC - Mẫu trắng vận chuyển);GCNM3 - 01 (QC - Mẫu trắng thiết bị)
Cầu Bình Thuận;Triều Lên;HCM_NM_BT2;HCM_NM_BT2_L;Khu vực cầu Bình Thuận, trên tuyến Quốc lộ 1A, Phường Bình Hưng Hòa;Cầu Bình Thuận - HCM_NM_BT2 - Triều Lên;Cầu Bình Thuận - Triều Lên;Cầu Bình Thuận - Triều Lên (QC - Mẫu lặp hiện trường);Cầu Bình Thuận - Triều Lên (QC - Mẫu trắng hiện trường);Cầu Bình Thuận - Triều Lên (QC - Mẫu trắng vận chuyển);Cầu Bình Thuận - Triều Lên (QC - Mẫu trắng thiết bị)
Nước Đen;Triều Lên;HCM_NM_NĐ;HCM_NM_NĐ_L;Gần khu vực đường Tân Kỳ Tân Quý giao kênh Nước Đen;Nước Đen - HCM_NM_NĐ - Triều Lên;Nước Đen - Triều Lên;Nước Đen - Triều Lên (QC - Mẫu lặp hiện trường);Nước Đen - Triều Lên (QC - Mẫu trắng hiện trường);Nước Đen - Triều Lên (QC - Mẫu trắng vận chuyển);Nước Đen - Triều Lên (QC - Mẫu trắng thiết bị)
Cầu Sông Chùa;Triều Lên;HCM_NM_CSC;HCM_NM_CSC_L;Tại khu vực cầu Sông Chùa;Cầu Sông Chùa - HCM_NM_CSC - Triều Lên;Cầu Sông Chùa - Triều Lên;Cầu Sông Chùa - Triều Lên (QC - Mẫu lặp hiện trường);Cầu Sông Chùa - Triều Lên (QC - Mẫu trắng hiện trường);Cầu Sông Chùa - Triều Lên (QC - Mẫu trắng vận chuyển);Cầu Sông Chùa - Triều Lên (QC - Mẫu trắng thiết bị)
Cầu Đường A;Triều Lên;HCM_NM_CĐA;HCM_NM_CĐA_L;Tại khu vực cầu đường A cách đường Số 2 khoảng 140 m theo hướng Tây;Cầu Đường A - HCM_NM_CĐA - Triều Lên;Cầu Đường A - Triều Lên;Cầu Đường A - Triều Lên (QC - Mẫu lặp hiện trường);Cầu Đường A - Triều Lên (QC - Mẫu trắng hiện trường);Cầu Đường A - Triều Lên (QC - Mẫu trắng vận chuyển);Cầu Đường A - Triều Lên (QC - Mẫu trắng thiết bị)
Trung Tâm;Triều Lên;HCM_NM_TrT;HCM_NM_TrT_L;Khu vực Cầu Đường C, đường Trung Tâm, phường Tân Tạo;Trung Tâm - HCM_NM_TrT - Triều Lên;Trung Tâm - Triều Lên;Trung Tâm - Triều Lên (QC - Mẫu lặp hiện trường);Trung Tâm - Triều Lên (QC - Mẫu trắng hiện trường);Trung Tâm - Triều Lên (QC - Mẫu trắng vận chuyển);Trung Tâm - Triều Lên (QC - Mẫu trắng thiết bị)
Nước Lên;Triều Lên;HCM_NM_NL;HCM_NM_NL_L;Khu vực cách cầu Nước Lên 20m về phía thượng nguồn;Nước Lên - HCM_NM_NL - Triều Lên;Nước Lên - Triều Lên;Nước Lên - Triều Lên (QC - Mẫu lặp hiện trường);Nước Lên - Triều Lên (QC - Mẫu trắng hiện trường);Nước Lên - Triều Lên (QC - Mẫu trắng vận chuyển);Nước Lên - Triều Lên (QC - Mẫu trắng thiết bị)
Lương Bèo;Triều Lên;HCM_NM_LB;HCM_NM_LB_L;Tại khu vực cầu Lương Bèo;Lương Bèo - HCM_NM_LB - Triều Lên;Lương Bèo - Triều Lên;Lương Bèo - Triều Lên (QC - Mẫu lặp hiện trường);Lương Bèo - Triều Lên (QC - Mẫu trắng hiện trường);Lương Bèo - Triều Lên (QC - Mẫu trắng vận chuyển);Lương Bèo - Triều Lên (QC - Mẫu trắng thiết bị)
GCNM2;2;HCM_NM_GCNM2;HCM_NM_GCNM2_02;Rạch nước đen – cách cống xả 500 m thượng nguồn. ;GCNM2 - HCM_NM_GCNM2 - 02;GCNM2 - 02;GCNM2 - 02 (QC - Mẫu lặp hiện trường);GCNM2 - 02 (QC - Mẫu trắng hiện trường);GCNM2 - 02 (QC - Mẫu trắng vận chuyển);GCNM2 - 02 (QC - Mẫu trắng thiết bị)
GCNM3;2;HCM_NM_GCNM3;HCM_NM_GCNM3_02;Rạch nước đen – cách cống xả 500m hạ nguồn.;GCNM3 - HCM_NM_GCNM3 - 02;GCNM3 - 02;GCNM3 - 02 (QC - Mẫu lặp hiện trường);GCNM3 - 02 (QC - Mẫu trắng hiện trường);GCNM3 - 02 (QC - Mẫu trắng vận chuyển);GCNM3 - 02 (QC - Mẫu trắng thiết bị)
Cầu Bình Thuận;Triều Xuống;HCM_NM_BT2;HCM_NM_BT2_X;Khu vực cầu Bình Thuận, trên tuyến Quốc lộ 1A, Phường Bình Hưng Hòa;Cầu Bình Thuận - HCM_NM_BT2 - Triều Xuống;Cầu Bình Thuận - Triều Xuống;Cầu Bình Thuận - Triều Xuống (QC - Mẫu lặp hiện trường);Cầu Bình Thuận - Triều Xuống (QC - Mẫu trắng hiện trường);Cầu Bình Thuận - Triều Xuống (QC - Mẫu trắng vận chuyển);Cầu Bình Thuận - Triều Xuống (QC - Mẫu trắng thiết bị)
Nước Đen;Triều Xuống;HCM_NM_NĐ;HCM_NM_NĐ_X;Gần khu vực đường Tân Kỳ Tân Quý giao kênh Nước Đen;Nước Đen - HCM_NM_NĐ - Triều Xuống;Nước Đen - Triều Xuống;Nước Đen - Triều Xuống (QC - Mẫu lặp hiện trường);Nước Đen - Triều Xuống (QC - Mẫu trắng hiện trường);Nước Đen - Triều Xuống (QC - Mẫu trắng vận chuyển);Nước Đen - Triều Xuống (QC - Mẫu trắng thiết bị)
Cầu Sông Chùa;Triều Xuống;HCM_NM_CSC;HCM_NM_CSC_X;Tại khu vực cầu Sông Chùa;Cầu Sông Chùa - HCM_NM_CSC - Triều Xuống;Cầu Sông Chùa - Triều Xuống;Cầu Sông Chùa - Triều Xuống (QC - Mẫu lặp hiện trường);Cầu Sông Chùa - Triều Xuống (QC - Mẫu trắng hiện trường);Cầu Sông Chùa - Triều Xuống (QC - Mẫu trắng vận chuyển);Cầu Sông Chùa - Triều Xuống (QC - Mẫu trắng thiết bị)
Cầu Đường A;Triều Xuống;HCM_NM_CĐA;HCM_NM_CĐA_X;Tại khu vực cầu đường A cách đường Số 2 khoảng 140 m theo hướng Tây;Cầu Đường A - HCM_NM_CĐA - Triều Xuống;Cầu Đường A - Triều Xuống;Cầu Đường A - Triều Xuống (QC - Mẫu lặp hiện trường);Cầu Đường A - Triều Xuống (QC - Mẫu trắng hiện trường);Cầu Đường A - Triều Xuống (QC - Mẫu trắng vận chuyển);Cầu Đường A - Triều Xuống (QC - Mẫu trắng thiết bị)
Trung Tâm;Triều Xuống;HCM_NM_TrT;HCM_NM_TrT_X;Khu vực Cầu Đường C, đường Trung Tâm, phường Tân Tạo;Trung Tâm - HCM_NM_TrT - Triều Xuống;Trung Tâm - Triều Xuống;Trung Tâm - Triều Xuống (QC - Mẫu lặp hiện trường);Trung Tâm - Triều Xuống (QC - Mẫu trắng hiện trường);Trung Tâm - Triều Xuống (QC - Mẫu trắng vận chuyển);Trung Tâm - Triều Xuống (QC - Mẫu trắng thiết bị)
Nước Lên;Triều Xuống;HCM_NM_NL;HCM_NM_NL_X;Khu vực cách cầu Nước Lên 20m về phía thượng nguồn;Nước Lên - HCM_NM_NL - Triều Xuống;Nước Lên - Triều Xuống;Nước Lên - Triều Xuống (QC - Mẫu lặp hiện trường);Nước Lên - Triều Xuống (QC - Mẫu trắng hiện trường);Nước Lên - Triều Xuống (QC - Mẫu trắng vận chuyển);Nước Lên - Triều Xuống (QC - Mẫu trắng thiết bị)
Lương Bèo;Triều Xuống;HCM_NM_LB;HCM_NM_LB_X;Tại khu vực cầu Lương Bèo;Lương Bèo - HCM_NM_LB - Triều Xuống;Lương Bèo - Triều Xuống;Lương Bèo - Triều Xuống (QC - Mẫu lặp hiện trường);Lương Bèo - Triều Xuống (QC - Mẫu trắng hiện trường);Lương Bèo - Triều Xuống (QC - Mẫu trắng vận chuyển);Lương Bèo - Triều Xuống (QC - Mẫu trắng thiết bị)
